Time (milliseconds),ax,ay,az,light,mx,my,mz,sound,temp
36743,-384,952,212,185,89.1,-152.1,-30.3,3,29
36904,-416,984,92,163,86.55,-153.3,-31.65,45,29
36938,-576,972,332,194,87,-153.9,-30.9,22,29
37088,-340,940,1540,180,93.3,-146.1,-23.25,90,29
37142,-132,760,-136,165,125.25,-145.35,-25.05,15,29
37295,-520,912,172,149,127.05,-150.9,-28.35,101,29
37350,-348,836,-140,180,142.8,-172.35,-79.5,86,29
37503,-680,804,-256,166,140.25,-174.75,-79.35,52,29
37664,-836,876,-436,164,116.55,-178.95,-153.6,11,29
37718,-864,744,-412,150,96.15,-167.7,-141.45,33,29
37874,-504,344,-868,134,36,-143.1,-91.8,45,29
37950,-140,104,-992,138,29.85,-126.3,-55.5,45,29
38102,-396,252,-912,76,29.7,-124.65,-55.35,41,29
38150,-588,292,-796,14,30,-130.35,-63.15,41,29
38310,-148,400,-636,45,30.75,-139.65,-77.4,56,29
38382,-668,1316,-104,115,10.95,-178.5,-167.55,63,29
38540,-412,1200,-436,193,-4.65,-187.8,-186.75,15,29
38701,88,832,-444,124,1.8,-188.1,-186.45,135,29
38734,-128,1016,-464,110,52.65,-196.5,-170.4,146,29
38885,-96,1192,-1120,144,56.7,-168.9,-135.6,33,29
39046,-352,1096,-276,147,58.05,-175.05,-133.95,22,29
39082,-204,992,-264,134,57.45,-176.25,-128.1,30,29
39231,-260,1020,-300,164,54.9,-168.6,-125.7,33,29
39392,-176,944,-264,141,56.85,-167.55,-127.2,33,29
39430,-188,960,-256,128,56.4,-167.85,-128.1,30,29
39602,-240,1036,-272,114,55.8,-169.5,-127.35,41,29
39634,-260,1036,-396,99,53.85,-170.25,-128.1,33,29
39784,-208,1016,-324,130,55.65,-170.25,-126,30,29
39945,-160,996,-272,109,56.1,-167.55,-119.4,52,29
39978,-244,1020,-336,95,54.6,-168,-118.8,48,29
40129,-224,968,-348,126,56.4,-168,-118.05,26,29
40291,-196,968,-340,103,57,-168.45,-116.25,18,29
40322,-200,1008,-316,87,56.25,-169.05,-114.75,18,29
40475,-184,984,-348,118,56.55,-168.15,-115.2,26,29
40636,-252,1004,-356,96,56.55,-167.55,-115.35,41,29
40686,-428,1008,-480,128,57.45,-168.9,-113.1,45,29
40844,-344,964,-464,112,62.55,-166.8,-105.15,52,29
40910,-120,824,-352,116,68.25,-159,-96.75,48,29
41074,-448,900,-448,102,67.35,-158.25,-94.95,52,29
41304,-104,928,-612,113,41.85,-170.1,-107.25,45,29
41353,-348,812,-580,98,35.7,-156.6,-91.35,45,29
41512,-168,392,-1184,0,8.55,-124.8,-67.05,82,29
41586,-296,700,-680,0,-9.45,-121.65,-29.1,11,29
41742,-440,976,-648,0,-6.3,-125.7,-32.55,150,29
41927,-104,580,-920,0,10.05,-113.4,-24.45,33,29
41958,-352,692,-600,0,8.55,-110.85,-15.6,41,29
42111,-548,712,-540,0,1.5,-107.55,-30.3,135,29
