Time (seconds),X_accel,Y_accel,Z_accel,X_mag,Y_mag,Z_mag,light,sound,temp
12.54,-32,368,-960,45,95.1,1.5,121,26,24
12.57,-48,368,-960,44.25,94.2,2.1,121,37,24
12.59,-32,368,-944,44.1,95.25,1.95,121,26,24
12.64,-32,352,-960,44.25,95.25,2.55,126,41,24
12.66,-48,384,-944,44.25,94.5,1.65,121,7,24
12.69,-32,352,-944,44.7,95.1,1.65,120,18,24
12.71,-48,384,-944,44.25,94.8,1.8,121,30,24
12.74,-32,352,-960,44.25,94.35,2.25,120,37,24
12.76,-32,368,-944,44.4,94.65,2.55,121,30,24
12.80,-16,368,-960,43.5,94.5,2.25,121,26,24
12.83,-48,352,-944,44.25,95.55,2.55,120,22,24
12.85,-32,368,-944,43.65,94.2,2.25,125,30,24
12.88,-32,352,-928,43.5,95.1,2.7,120,22,24
12.90,-16,368,-960,43.95,95.25,2.7,120,37,24
12.95,-16,352,-960,43.8,94.8,2.1,120,18,24
12.97,-32,384,-944,45.3,94.8,1.95,121,22,24
13.00,-48,384,-960,44.7,94.95,2.4,120,22,24
13.02,-32,352,-944,45,94.95,3.15,121,33,24
13.05,-48,368,-960,44.4,94.95,1.95,121,18,24
13.07,-32,336,-944,44.55,94.5,2.55,121,18,24
13.12,-32,368,-944,45.15,95.55,2.1,121,52,24
13.14,-32,384,-928,44.4,94.2,1.95,120,48,24
13.16,-48,368,-944,44.25,95.25,1.5,120,33,24
13.19,-32,368,-960,44.25,94.65,2.7,120,33,24
13.21,-48,368,-960,43.8,94.8,1.95,121,30,24
13.24,-48,368,-960,43.2,95.7,2.55,120,33,24
13.28,-48,352,-960,43.8,95.1,1.35,125,93,24
13.30,-32,352,-960,44.7,95.7,1.5,120,86,24
13.33,-32,368,-960,44.85,95.55,2.55,124,97,24
13.35,-32,352,-960,44.7,94.8,1.65,120,105,24
13.38,-32,368,-960,43.2,95.85,2.1,120,105,24
13.40,-32,368,-944,44.55,95.1,2.55,124,101,24
13.45,-32,368,-944,44.25,94.35,2.7,120,97,24
13.47,-48,384,-960,43.8,95.4,2.25,126,90,24
13.50,-16,368,-944,44.55,94.8,1.65,125,93,24
13.52,-48,368,-960,43.95,94.8,2.4,121,71,24
13.55,-32,368,-944,44.1,95.55,2.25,120,67,24
13.59,-48,368,-960,43.95,95.85,2.1,121,60,24
13.62,-48,368,-976,43.8,94.95,1.95,120,67,24
13.64,-32,352,-960,43.5,95.85,3.15,120,48,24
13.66,-32,352,-960,43.95,95.1,2.1,120,45,24
13.69,-48,352,-960,44.4,94.8,2.25,120,48,24
13.71,-48,352,-960,44.55,94.95,1.8,121,30,24
13.76,-48,352,-960,44.4,95.55,1.5,120,33,24
13.79,-64,368,-960,43.35,95.25,1.8,120,93,24
13.81,-32,384,-960,43.5,94.35,2.55,120,45,24
13.84,-32,368,-944,44.85,95.4,3.15,120,37,24
13.86,-48,384,-960,43.95,94.5,2.7,120,41,24
13.88,-48,352,-960,45.6,94.95,1.5,120,82,24
13.93,-48,368,-960,44.1,94.65,2.55,120,90,24
13.95,-64,352,-960,44.4,95.55,2.1,120,97,24
13.98,-32,352,-960,45,94.65,2.1,120,101,24
14.00,-32,368,-960,44.55,94.35,1.65,121,93,24
14.02,-48,368,-960,44.4,94.35,2.25,120,75,24
14.05,-16,384,-960,43.65,94.65,2.7,120,67,24
14.09,-48,368,-960,43.65,94.95,2.1,120,90,24
14.12,-32,352,-944,44.25,94.2,2.1,121,78,24
14.14,-64,352,-960,43.8,95.1,2.4,120,78,24
14.16,-48,368,-928,43.95,95.25,2.4,120,60,24
14.19,-32,352,-960,44.55,94.95,1.95,120,37,24
14.24,-48,352,-944,44.55,94.65,1.8,120,33,24
14.26,-16,384,-944,43.8,95.25,1.65,120,26,24
14.29,0,352,-944,44.1,95.1,2.1,120,33,24
14.31,-32,352,-960,43.65,94.5,2.1,120,63,24
14.34,-32,352,-960,43.2,95.25,2.4,120,101,24
14.36,-32,368,-960,43.95,94.95,2.25,120,75,24
14.41,-32,368,-960,44.1,95.4,2.1,120,75,24
14.44,-16,368,-944,45.45,95.25,2.25,120,60,24
14.46,-32,352,-960,44.4,94.95,2.25,120,45,24
14.49,-48,352,-944,45.15,94.5,2.55,120,93,24
14.51,-48,368,-944,44.25,95.4,2.25,120,90,24
14.54,-48,352,-960,44.25,94.35,1.8,120,75,24
14.58,-48,368,-944,43.8,94.8,1.65,120,60,24
14.61,-32,352,-960,43.95,94.5,1.5,120,82,24
